year;AVG global;AVG Rabat
1750;8,72;
1751;7,98;
1752;5,78;
1753;8,39;17,31
1754;8,47;17,47
1755;8,36;17,16
1756;8,85;17,53
1757;9,02;17,42
1758;6,74;15,89
1759;8,03;17,01
1760;7,877;16,38
1761;7,956;17,41
1762;8,239;17,41
1763;8,15;17,099
1764;8,143;17,023
1765;8,132;17,017
1766;8,088;17,044
1767;8,008;17,035
1768;8,012;17,035
1769;7,982;17,083
1770;8,032;17,094
1771;7,94;17,154
1772;7,898;17,163
1773;7,97;17,217
1774;8,007;17,279
1775;8,1;17,322
1776;8,089;17,374
1777;8,093;17,364
1778;8,269;17,333
1779;8,398;17,433
1780;8,572;17,473
1781;8,597;17,597
1782;8,568;17,586
1783;8,514;17,474
1784;8,423;17,454
1785;8,241;17,383
1786;8,237;17,269
1787;8,214;17,269
1788;8,205;17,287
1789;8,14;17,334
1790;7,995;17,244
1791;8,008;17,153
1792;8,027;17,155
1793;8,082;17,211
1794;8,149;17,25
1795;8,248;17,244
1796;8,249;17,315
1797;8,297;17,308
1798;8,319;17,286
1799;8,337;17,25
1800;8,387;17,315
1801;8,423;17,373
1802;8,472;17,391
1803;8,499;17,432
1804;8,53;17,447
1805;8,551;17,536
1806;8,567;17,515
1807;8,544;17,522
1808;8,44;17,516
1809;8,297;17,408
1810;8,141;17,311
1811;7,968;17,117
1812;7,815;16,97
1813;7,739;16,818
1814;7,614;16,717
1815;7,482;16,549
1816;7,333;16,474
1817;7,203;16,36
1818;7,223;16,391
1819;7,252;16,497
1820;7,322;16,541
1821;7,445;16,609
1822;7,559;16,742
1823;7,557;16,826
1824;7,653;16,883
1825;7,768;16,993
1826;7,91;17,062
1827;8,093;17,155
1828;8,127;17,132
1829;8,184;17,106
1830;8,274;17,131
1831;8,229;17,201
1832;8,155;17,199
1833;8,184;17,171
1834;8,144;17,153
1835;8,044;17,188
1836;7,978;17,14
1837;7,835;17,129
1838;7,769;17,128
1839;7,738;17,13
1840;7,666;17,123
1841;7,671;17,096
1842;7,728;17,052
1843;7,744;17,088
1844;7,694;17,126
1845;7,74;17,053
1846;7,825;17,048
1847;7,896;17,096
1848;7,943;17,111
1849;7,978;17,055
1850;7,988;17,075
1851;8,037;17,108
1852;8,045;17,168
1853;8,032;17,19
1854;8,088;17,153
1855;8,114;17,138
1856;8,059;17,136
1857;8,026;17,087
1858;8,038;17,042
1859;8,065;17,131
1860;8,071;17,131
1861;8,038;17,095
1862;7,984;17,076
1863;7,991;17,05
1864;7,968;17,047
1865;7,975;17,106
1866;8,004;17,167
1867;8,072;17,187
1868;8,087;17,277
1869;8,105;17,235
1870;8,129;17,241
1871;8,156;17,28
1872;8,219;17,251
1873;8,243;17,249
1874;8,288;17,279
1875;8,256;17,261
1876;8,235;17,252
1877;8,245;17,269
1878;8,303;17,243
1879;8,277;17,276
1880;8,269;17,24
1881;8,284;17,191
1882;8,278;17,252
1883;8,241;17,241
1884;8,175;17,206
1885;8,181;17,173
1886;8,168;17,111
1887;8,105;17,057
1888;8,031;17,021
1889;8,046;16,959
1890;8,031;16,923
1891;8,006;16,885
1892;8;16,79
1893;8,008;16,798
1894;8,047;16,887
1895;8,07;16,886
1896;8,096;17,003
1897;8,134;16,995
1898;8,143;17,049
1899;8,151;17,081
1900;8,204;17,249
1901;8,256;17,322
1902;8,279;17,351
1903;8,295;17,348
1904;8,288;17,267
1905;8,296;17,303
1906;8,313;17,232
1907;8,279;17,258
1908;8,28;17,166
1909;8,258;17,174
1910;8,23;17,051
1911;8,194;17,016
1912;8,181;16,998
1913;8,189;16,994
1914;8,239;17,025
1915;8,275;16,995
1916;8,26;17,002
1917;8,267;16,997
1918;8,261;16,991
1919;8,281;16,953
1920;8,295;16,96
1921;8,334;17,02
1922;8,358;17,06
1923;8,37;17,076
1924;8,362;17,064
1925;8,356;17,115
1926;8,406;17,088
1927;8,456;17,19
1928;8,506;17,282
1929;8,492;17,339
1930;8,519;17,399
1931;8,534;17,399
1932;8,564;17,388
1933;8,556;17,353
1934;8,568;17,372
1935;8,567;17,313
1936;8,549;17,343
1937;8,567;17,252
1938;8,59;17,266
1939;8,642;17,269
1940;8,655;17,22
1941;8,66;17,249
1942;8,662;17,276
1943;8,704;17,342
1944;8,726;17,374
1945;8,732;17,413
1946;8,745;17,517
1947;8,755;17,532
1948;8,744;17,55
1949;8,727;17,596
1950;8,688;17,695
1951;8,674;17,7
1952;8,665;17,684
1953;8,676;17,678
1954;8,647;17,704
1955;8,652;17,693
1956;8,612;17,737
1957;8,605;17,673
1958;8,607;17,611
1959;8,621;17,581
1960;8,642;17,512
1961;8,659;17,474
1962;8,67;17,578
1963;8,669;17,611
1964;8,654;17,579
1965;8,644;17,631
1966;8,676;17,503
1967;8,673;17,584
1968;8,648;17,577
1969;8,635;17,57
1970;8,647;17,563
1971;8,627;17,574
1972;8,602;17,415
1973;8,611;17,275
1974;8,617;17,24
1975;8,638;17,168
1976;8,613;17,134
1977;8,628;17,089
1978;8,645;17,095
1979;8,658;17,103
1980;8,686;17,118
1981;8,743;17,124
1982;8,757;17,243
1983;8,765;17,349
1984;8,787;17,423
1985;8,779;17,45
1986;8,827;17,55
1987;8,841;17,598
1988;8,892;17,696
1989;8,911;17,72
1990;8,936;17,817
1991;8,937;17,88
1992;8,957;17,835
1993;8,941;17,847
1994;8,976;17,765
1995;9,045;17,838
1996;9,066;17,908
1997;9,087;17,962
1998;9,119;18,006
1999;9,156;18,043
2000;9,153;17,987
2001;9,176;17,972
2002;9,249;18,081
2003;9,315;18,144
2004;9,343;18,274
2005;9,378;18,297
2006;9,427;18,24
2007;9,48;18,294
2008;9,471;18,228
2009;9,493;18,2
2010;9,543;18,285
2011;9,554;18,358
2012;9,548;18,361
2013;9,556;18,362
2014;9,581;
2015;9,594;
